transcriptID_trim,log2FoldChange
TRINITY_DN140781_c7_g1,-1.537344563
TRINITY_DN141228_c0_g1,-1.742591053
TRINITY_DN144174_c0_g8,0.605702219
TRINITY_DN146060_c0_g20,0.491058685
TRINITY_DN146997_c0_g2,1.193477037
TRINITY_DN148771_c1_g12,-0.691157479
TRINITY_DN125441_c0_g3,-0.856850763
TRINITY_DN121952_c0_g1,0.494277967
TRINITY_DN144198_c1_g3,1.825632049
TRINITY_DN131186_c4_g2,0.656877785
TRINITY_DN151154_c2_g16,1.233834915
TRINITY_DN137378_c6_g13,-1.05136457
TRINITY_DN144327_c5_g1,1.938457458
TRINITY_DN145994_c0_g15,0.667253375
TRINITY_DN146558_c0_g13,-0.567693469
TRINITY_DN147775_c1_g18,-0.649386569
TRINITY_DN139913_c0_g2,-1.185654406
TRINITY_DN122040_c0_g2,1.282125983
TRINITY_DN115950_c0_g1,1.753152318
TRINITY_DN121891_c1_g2,-1.441510177
TRINITY_DN141216_c2_g7,0.622649147
TRINITY_DN142382_c1_g3,-0.488408778
TRINITY_DN144482_c0_g4,-1.299726037
TRINITY_DN144832_c0_g18,-0.625746125
TRINITY_DN146849_c1_g3,0.599798413
TRINITY_DN149253_c0_g7,-0.436852813
TRINITY_DN149468_c0_g1,0.353996257
TRINITY_DN145804_c0_g1,1.480154224
TRINITY_DN147337_c0_g1,1.901484919
TRINITY_DN135822_c0_g2,-0.886700155
TRINITY_DN138058_c0_g1,0.902875661
TRINITY_DN146444_c11_g8,-0.611512096
TRINITY_DN135346_c1_g10,1.601648556
TRINITY_DN141750_c4_g22,0.460046508
TRINITY_DN65644_c0_g2,-1.554108499
TRINITY_DN130622_c1_g3,0.905317393
TRINITY_DN136073_c3_g7,-0.583519629
TRINITY_DN144758_c0_g23,-0.482572776
TRINITY_DN134017_c0_g2,-1.837358029
TRINITY_DN140812_c0_g9,1.379162286
TRINITY_DN145531_c0_g7,0.398543698
TRINITY_DN123349_c0_g1,-0.679819517
TRINITY_DN140874_c0_g1,-1.383027754
TRINITY_DN148369_c2_g1,0.929761175
TRINITY_DN150544_c0_g1,0.619693605
